rank,brand,brand_ar,name_en,name_ar,rating,longevity,projection,year,price_ref,keyword_ar,keyword_en
903,Mercedes Benz,مرسيدس بنز,Man Private -,مان برايفت,4.27,3.6,3.2,2018,8,عطر مان برايفت,Man Private -
904,Nasomatto,ناسوماتو,Blamage,بلاماج اكسترايت,4.07,3.9,3.3,2014,500,عطر بلاماج اكسترايت,Blamage
905,Nishane,نيشاني,Papilefiko,بابيليفيكو الجديد اكسترايت,4.17,3.8,3.2,2022,1200,عطر بابيليفيكو الجديد اكسترايت,Papilefiko
906,PENHALIGONS,بنهاليغونز,Halfeti Leather Penhaligon's,بنهاليغينز هالفيتي ليذر,4.22,3.7,3.2,2020,270,عطر بنهاليغينز هالفيتي ليذر,Halfeti Leather Penhaligon's
907,Parfums de Marly,مارلي,Herod,هيرود,4.42,3.6,2.9,2012,590,عطر هيرود,Herod
908,Thameen,ثمين,Diadem,دياديم بيرفيوم,4.22,3.7,3.2,2018,570,عطر دياديم بيرفيوم,Diadem
909,TizianaTerenzi,تيزيانا تيرينزي,Tabit TIZIANA TERENZI,تابت,3.97,3.8,3.6,2016,780,عطر تابت,Tabit TIZIANA TERENZI
910,Viktor Rolf,فيكتور اند رولف,& BonBon,بون,3.97,3.8,3.6,2014,520,عطر بون,& BonBon
911,Tauer Perfumes,اندي تاور,Une Rose de Kandahar,روز قندهار,4.27,3.7,3.1,2013,25,عطر روز قندهار,Une Rose de Kandahar
912,Thameen,ثمين,Regent Leather,ريجنت ليذر,4.27,3.7,3.1,2016,720,عطر ريجنت ليذر,Regent Leather
913,Du Bois,دو بوا,Lucius Fragrance,فراغرنس لوسيوس,4.36,3.7,2.9,2024,1300,عطر فراغرنس لوسيوس,Lucius Fragrance
914,AMOUAGE,امواج,Memoir Man,مموار,4.26,3.8,3,2010,850,عطر مموار,Memoir Man
915,Givenchy,جيفنشي,Pi,باي,4.16,3.6,3.4,1999,250,عطر باي,Pi
916,Guerlain,غيرلان,Heritage,هيرتاج,4.36,3.6,3,1992,11,عطر هيرتاج,Heritage
917,Isabey,ايزابي,Fleur Nocturne,فلور نوكتورن,4.16,3.6,3.4,2009,650,عطر فلور نوكتورن,Fleur Nocturne
918,Mancera,مانسيرا,Lemon Line,ليمون لاين,4.16,3.6,3.4,2014,350,عطر ليمون لاين,Lemon Line
919,PENHALIGONS,بنهاليغونز,Halfeti Penhaligon's,بنهاليغنز هالفيتي,4.21,3.7,3.2,2015,780,عطر بنهاليغنز هالفيتي,Halfeti Penhaligon's
920,Provenzano,بروفينزانو,Ultimate Rose Christian Parfums,كريستيان بروفنزانو التيميت روز,4.21,3.5,3.4,2019,16,عطر كريستيان بروفنزانو التيميت روز,Ultimate Rose Christian Parfums
921,Van Cleef,فان كليف اند اربلز,Orchid Leather & Arpels,اربيلس أوركيد ليذر,4.16,3.8,3.2,2021,600,عطر اربيلس أوركيد ليذر,Orchid Leather & Arpels
922,XERJOFF,زيرجوف,Mefisto Gentiluomo,مفيستو جنتل,4.36,3.6,3,2018,240,عطر مفيستو جنتل,Mefisto Gentiluomo
923,Masque Milano,ماسك ميلانو,Kintsugi,كنتسوجي,4.06,3.8,3.4,2019,550,عطر كنتسوجي,Kintsugi
924,Nishane,نيشاني,Muskane,موسكان,3.96,3.8,3.6,2019,580,عطر موسكان,Muskane
925,TOM FORD,توم فورد,Tobacco Oud,توباكو عود,4.21,3.8,3.1,2013,22,عطر توباكو عود,Tobacco Oud
